@relation 'textdump.arff-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,10-22,25-26,28-31'

@attribute ticks numeric
@attribute pacman_pos_x numeric
@attribute pacman_pos_y numeric
@attribute legal_North {False,True}
@attribute legal_South {False,True}
@attribute legal_East {False,True}
@attribute legal_West {False,True}
@attribute ghost4_y numeric
@attribute ghost1_dir {East,North,South,Stop,West,None}
@attribute ghost4_dir {East,North,South,Stop,West,None}
@attribute pacdots_remaining numeric
@attribute nearestpacdot_dist numeric
@attribute score numeric
@attribute pacman_action {East,North,South,Stop,West,None}

@data
1,1,11,False,True,True,False,6,None,None,2,14,0,Stop
2,1,11,False,True,True,False,6,South,South,2,14,-1,Stop
3,1,11,False,True,True,False,5,South,South,2,14,-2,Stop
4,1,11,False,True,True,False,4,West,South,2,14,-3,East
5,2,11,False,False,True,True,3,West,North,2,13,-4,East
6,3,11,False,False,True,True,4,South,East,2,12,-5,East
7,4,11,False,False,True,True,4,West,South,2,11,-6,East
8,5,11,False,True,True,True,3,East,North,2,10,-7,South
9,5,10,True,True,True,False,4,West,East,2,9,-8,South
10,5,9,True,True,True,True,4,West,West,2,8,-9,West
11,4,9,False,True,True,True,4,East,North,2,9,-10,West
12,3,9,False,True,True,True,5,East,North,2,10,-11,South
13,3,8,True,True,True,True,5,East,East,2,9,-12,East
14,4,8,True,True,True,True,5,West,West,2,8,187,East
15,5,8,True,True,True,True,5,North,South,2,7,186,East
16,6,8,True,True,True,True,4,South,West,2,6,185,East
17,7,8,True,True,True,True,4,East,West,2,5,184,East
18,8,8,True,True,True,True,4,West,East,2,4,183,East
19,9,8,True,True,True,True,4,North,South,2,3,182,North
20,9,9,False,True,True,True,3,North,North,2,4,181,Stop
21,9,9,False,True,True,True,4,North,West,2,4,180,East
22,10,9,True,True,True,True,4,South,West,2,3,179,East
23,11,9,True,False,True,True,4,South,East,2,4,178,East
24,12,9,False,True,True,True,4,South,East,2,3,177,East
25,13,9,False,True,True,True,4,South,East,2,2,176,South
26,13,8,True,True,True,True,4,North,West,2,3,375,South
27,13,7,True,False,True,True,4,West,South,2,4,374,East
28,14,7,True,True,True,True,3,West,East,2,3,373,South
29,14,6,True,True,False,False,3,South,North,2,4,372,South
30,14,5,True,True,True,True,4,South,West,2,5,371,East
31,15,5,False,True,True,True,4,East,South,2,6,370,East
32,16,5,False,True,True,True,3,East,North,2,7,369,South
33,16,4,True,True,True,True,4,North,North,2,8,368,West
34,15,4,True,True,True,True,5,North,Stop,2,7,567,West
35,14,4,True,True,True,True,1,East,Stop,2,6,566,North
36,14,5,True,True,True,True,1,North,Stop,2,5,565,West
37,13,5,False,True,True,True,1,West,Stop,2,4,564,West
38,12,5,False,False,True,True,1,West,Stop,2,3,563,West
39,11,5,False,True,True,True,1,East,Stop,2,2,562,West
40,10,5,True,True,True,True,1,East,Stop,2,1,561,West
41,9,5,True,True,True,True,1,East,Stop,2,2,560,West
42,8,5,True,True,True,True,1,South,Stop,2,3,559,West
43,7,5,False,True,True,True,1,South,Stop,2,4,558,West
44,6,5,False,True,True,True,1,South,Stop,2,5,557,South
45,6,4,True,True,True,True,1,East,Stop,2,6,556,South
1,1,11,False,True,True,False,6,None,None,2,14,0,Stop
2,1,11,False,True,True,False,6,Stop,North,2,14,-1,Stop
3,1,11,False,True,True,False,7,South,North,2,14,-2,Stop
4,1,11,False,True,True,False,7,North,East,2,14,-3,East
5,2,11,False,False,True,True,7,East,North,2,13,-4,East
6,3,11,False,False,True,True,8,East,East,2,12,-5,East
7,4,11,False,False,True,True,8,East,South,2,11,-6,East
8,5,11,False,True,True,True,7,South,East,2,10,193,East
9,6,11,False,True,True,True,7,South,East,2,9,192,East
10,7,11,False,False,True,True,7,West,East,2,8,191,East
11,8,11,False,False,True,True,7,North,West,2,7,190,East
12,9,11,False,False,True,True,7,North,West,2,6,389,East
13,10,11,False,True,True,True,7,South,East,2,5,388,South
14,10,10,True,True,True,False,7,North,North,2,4,387,South
15,10,9,True,True,True,True,8,West,West,2,3,386,South
16,10,8,True,True,False,True,8,South,East,2,2,385,West
17,9,8,True,True,True,True,8,East,East,2,3,384,South
18,9,7,True,True,True,True,8,West,South,2,2,383,South
19,9,6,True,True,True,True,7,East,North,2,1,382,South
20,9,5,True,True,True,True,8,North,North,2,2,381,West
21,8,5,True,True,True,True,8,Stop,West,2,3,580,West
22,7,5,False,True,True,True,8,Stop,North,2,4,579,West
23,6,5,False,True,True,True,9,Stop,East,2,5,578,South
24,6,4,True,True,True,True,9,Stop,South,2,6,577,East
25,7,4,True,True,True,True,8,Stop,North,2,5,576,East
26,8,4,True,True,True,True,9,Stop,South,2,4,575,East
27,9,4,True,True,True,True,8,Stop,West,2,3,574,East
28,10,4,True,True,True,True,8,Stop,East,2,2,573,North
29,10,5,True,True,True,True,8,Stop,North,2,1,572,East
30,11,5,False,True,True,True,9,Stop,North,2,2,571,East
31,12,5,False,False,True,True,10,Stop,North,2,3,570,East
32,13,5,False,True,True,True,11,Stop,North,2,4,569,East
33,14,5,True,True,True,True,11,Stop,North,2,5,568,North
34,14,6,True,True,False,False,11,Stop,West,2,4,567,North
35,14,7,True,True,True,True,11,Stop,West,2,3,566,North
36,14,8,True,True,True,True,11,Stop,West,2,2,565,North
37,14,9,True,True,True,True,11,Stop,West,2,1,564,North
38,14,10,True,True,False,False,11,Stop,East,1,8,663,North
39,14,11,False,True,True,True,11,Stop,East,1,9,662,East
40,15,11,False,False,True,True,11,Stop,East,1,10,661,East
41,16,11,False,False,True,True,11,Stop,East,1,11,660,East
42,17,11,False,False,True,True,11,Stop,South,1,12,659,East
1,1,11,False,True,True,False,6,None,None,2,14,0,Stop
2,1,11,False,True,True,False,6,South,South,2,14,-1,Stop
3,1,11,False,True,True,False,5,West,East,2,14,-2,Stop
4,1,11,False,True,True,False,5,West,East,2,14,-3,East
5,2,11,False,False,True,True,5,East,West,2,13,-4,East
6,3,11,False,False,True,True,5,South,South,2,12,-5,East
7,4,11,False,False,True,True,4,North,South,2,11,-6,East
8,5,11,False,True,True,True,4,South,West,2,10,-7,East
9,6,11,False,True,True,True,4,South,South,2,9,-8,East
10,7,11,False,False,True,True,3,North,West,2,8,191,East
11,8,11,False,False,True,True,3,East,West,2,7,190,East
12,9,11,False,False,True,True,3,South,East,2,6,189,East
13,10,11,False,True,True,True,3,North,North,2,5,188,South
14,10,10,True,True,True,False,4,West,North,2,4,187,South
15,10,9,True,True,True,True,4,West,East,2,3,186,West
16,9,9,False,True,True,True,4,North,North,2,4,185,West
17,8,9,False,True,True,True,5,West,South,2,5,184,West
18,7,9,False,True,True,True,4,South,West,2,6,183,South
19,7,8,True,True,True,True,4,East,South,2,5,182,South
20,7,7,True,False,True,True,3,North,North,2,4,181,West
21,6,7,True,False,True,True,4,East,West,2,5,180,West
22,5,7,True,False,True,True,4,East,East,2,6,179,West
23,4,7,True,False,True,True,4,East,North,2,7,178,West
24,3,7,True,False,True,True,5,North,North,2,8,377,West
25,2,7,True,False,True,True,5,East,North,2,9,376,West
26,1,7,True,True,True,False,5,West,East,2,10,375,South
27,1,6,True,True,False,False,5,East,East,2,9,374,South
28,1,5,True,True,True,False,5,West,East,2,10,373,East
29,2,5,False,True,True,True,5,South,East,2,9,372,East
30,3,5,False,True,True,True,5,South,South,2,8,371,East
31,4,5,False,True,True,True,4,South,West,2,7,370,East
32,5,5,False,True,True,True,4,East,South,2,6,369,East
33,6,5,False,True,True,True,3,South,West,2,5,368,East
34,7,5,False,True,True,True,3,East,West,2,4,367,East
35,8,5,True,True,True,True,3,East,North,2,3,366,East
36,9,5,True,True,True,True,4,East,West,2,2,365,East
37,10,5,True,True,True,True,4,East,North,2,1,364,South
38,10,4,True,True,True,True,5,East,North,2,2,363,East
39,11,4,True,True,False,True,5,East,North,2,3,362,Stop
40,11,4,True,True,False,True,5,Stop,West,2,3,561,North
41,11,5,False,True,True,True,5,Stop,West,2,2,560,Stop
42,11,5,False,True,True,True,5,Stop,East,2,2,559,Stop
43,11,5,False,True,True,True,5,Stop,East,2,2,558,East
44,12,5,False,False,True,True,5,Stop,East,2,3,557,East
45,13,5,False,True,True,True,5,Stop,East,2,4,556,East
46,14,5,True,True,True,True,5,Stop,East,2,5,555,East
47,15,5,False,True,True,True,5,Stop,South,2,6,554,East
48,16,5,False,True,True,True,4,Stop,East,2,7,553,East
49,17,5,False,True,True,True,4,Stop,East,2,8,552,South
1,1,11,False,True,True,False,6,None,None,2,14,0,Stop
2,1,11,False,True,True,False,6,East,North,2,14,-1,Stop
3,1,11,False,True,True,False,7,East,East,2,14,-2,East
4,2,11,False,False,True,True,7,West,East,2,13,-3,East
5,3,11,False,False,True,True,7,East,West,2,12,-4,East
6,4,11,False,False,True,True,7,East,North,2,11,-5,East
7,5,11,False,True,True,True,8,East,North,2,10,-6,East
8,6,11,False,True,True,True,9,South,South,2,9,-7,South
9,6,10,True,True,False,True,8,South,South,2,8,192,South
10,6,9,True,True,True,True,8,North,East,2,7,191,West
11,5,9,True,True,True,True,8,North,East,2,8,190,West
12,4,9,False,True,True,True,8,North,North,2,9,189,West
13,3,9,False,True,True,True,9,East,North,2,10,188,East
14,4,9,False,True,True,True,9,East,North,2,9,187,East
15,5,9,True,True,True,True,9,South,South,2,8,186,East
16,6,9,True,True,True,True,8,North,East,2,7,185,North
17,6,10,True,True,False,True,8,North,South,2,8,184,West
18,5,10,True,True,True,False,7,North,North,2,9,383,Stop
19,5,10,True,True,True,False,8,South,North,2,9,382,South
20,5,9,True,True,True,True,9,East,East,2,8,381,South
21,5,8,True,True,True,True,9,East,East,2,7,380,East
22,6,8,True,True,True,True,9,East,South,2,6,379,East
23,7,8,True,True,True,True,8,East,South,2,5,378,East
24,8,8,True,True,True,True,7,East,South,2,4,377,South
25,8,7,True,True,True,True,7,South,South,2,3,376,South
26,8,6,True,True,True,False,6,East,North,2,2,375,South
27,8,5,True,True,True,True,7,South,South,2,3,374,East
28,9,5,True,True,True,True,6,South,South,2,2,373,East
29,10,5,True,True,True,True,5,South,West,2,1,372,East
30,11,5,False,True,True,True,5,South,West,2,2,371,East
31,12,5,False,False,True,True,5,South,East,2,3,370,East
32,13,5,False,True,True,True,5,East,West,2,4,369,East
33,14,5,True,True,True,True,5,West,West,2,5,368,East
34,15,5,False,True,True,True,5,East,West,2,6,367,South
35,15,4,True,True,True,True,5,East,West,2,7,366,South
36,15,3,True,False,True,True,5,North,South,2,8,365,East
37,16,3,True,False,True,True,4,South,North,2,9,364,East
38,17,3,True,False,True,True,5,Stop,North,2,10,563,North
39,17,4,True,True,True,True,5,Stop,West,2,9,562,North
40,17,5,False,True,True,True,5,Stop,West,2,8,561,West
1,1,11,False,True,True,False,6,None,None,2,14,0,Stop
2,1,11,False,True,True,False,6,South,South,2,14,-1,East
3,2,11,False,False,True,True,5,East,East,2,13,-2,East
4,3,11,False,False,True,True,5,West,South,2,12,-3,East
5,4,11,False,False,True,True,4,West,South,2,11,-4,East
6,5,11,False,True,True,True,4,West,East,2,10,-5,East
7,6,11,False,True,True,True,4,East,North,2,9,-6,East
8,7,11,False,False,True,True,5,South,West,2,8,-7,East
9,8,11,False,False,True,True,5,West,South,2,7,-8,East
10,9,11,False,False,True,True,4,West,South,2,6,191,East
11,10,11,False,True,True,True,3,North,West,2,5,190,South
12,10,10,True,True,True,False,3,North,West,2,4,189,South
13,10,9,True,True,True,True,3,West,West,2,3,188,West
14,9,9,False,True,True,True,3,West,North,2,4,187,West
15,8,9,False,True,True,True,4,East,East,2,5,186,West
16,7,9,False,True,True,True,4,North,East,2,6,185,South
17,7,8,True,True,True,True,4,East,North,2,5,184,South
18,7,7,True,False,True,True,5,East,East,2,4,183,West
19,6,7,True,False,True,True,5,East,West,2,5,182,West
20,5,7,True,False,True,True,5,South,South,2,6,181,West
21,4,7,True,False,True,True,4,North,East,2,7,180,West
22,3,7,True,False,True,True,4,West,North,2,8,179,North
23,3,8,True,True,True,True,5,South,North,2,9,178,East
24,4,8,True,True,True,True,5,West,West,2,8,377,East
25,5,8,True,True,True,True,5,West,South,2,7,376,North
26,5,9,True,True,True,True,4,North,South,2,8,375,North
27,5,10,True,True,True,False,3,East,East,2,9,374,East
28,6,10,True,True,False,True,3,East,West,2,8,373,Stop
29,6,10,True,True,False,True,3,South,North,2,8,372,South
30,6,9,True,True,True,True,4,North,South,2,7,371,South
31,6,8,True,True,True,True,3,North,South,2,6,370,South
32,6,7,True,False,True,True,3,North,West,2,5,369,East
33,7,7,True,False,True,True,3,North,North,2,4,368,East
34,8,7,True,True,True,True,4,South,North,2,3,367,South
35,8,6,True,True,True,False,5,South,West,2,2,366,South
36,8,5,True,True,True,True,5,Stop,East,2,3,565,South
37,8,4,True,True,True,True,5,Stop,South,2,4,564,East
38,9,4,True,True,True,True,4,Stop,East,2,3,563,East
39,10,4,True,True,True,True,4,Stop,North,2,2,562,North
40,10,5,True,True,True,True,5,Stop,East,2,1,561,East
41,11,5,False,True,True,True,5,Stop,West,2,2,560,East
42,12,5,False,False,True,True,5,Stop,South,2,3,559,East
43,13,5,False,True,True,True,4,Stop,West,2,4,558,East
44,14,5,True,True,True,True,4,Stop,West,2,5,557,East
45,15,5,False,True,True,True,4,Stop,West,2,6,556,South
46,15,4,True,True,True,True,4,Stop,North,2,7,555,West
47,14,4,True,True,True,True,5,Stop,East,2,6,554,West
48,13,4,True,True,True,False,5,Stop,West,2,5,553,North
1,1,11,False,True,True,False,6,None,None,2,14,0,Stop
2,1,11,False,True,True,False,6,South,South,2,14,-1,East
3,2,11,False,False,True,True,5,South,North,2,13,-2,East
4,3,11,False,False,True,True,6,South,North,2,12,-3,East
5,4,11,False,False,True,True,7,North,East,2,11,-4,East
6,5,11,False,True,True,True,7,West,East,2,10,-5,East
7,6,11,False,True,True,True,7,North,East,2,9,194,South
8,6,10,True,True,False,True,7,North,East,2,8,193,South
9,6,9,True,True,True,True,7,West,North,2,7,192,West
10,5,9,True,True,True,True,8,South,North,2,8,191,West
11,4,9,False,True,True,True,8,North,South,2,9,390,West
12,3,9,False,True,True,True,7,South,South,2,10,389,South
13,3,8,True,True,True,True,7,South,South,2,9,388,South
14,3,7,True,False,True,True,7,North,South,2,8,387,West
15,2,7,True,False,True,True,7,East,West,2,9,386,West
16,1,7,True,True,True,False,7,North,West,2,10,385,South
17,1,6,True,True,False,False,7,South,East,2,9,384,South
18,1,5,True,True,True,False,7,West,North,2,10,383,East
19,2,5,False,True,True,True,8,East,North,2,9,382,East
20,3,5,False,True,True,True,9,East,North,2,8,381,East
21,4,5,False,True,True,True,9,South,North,2,7,380,East
22,5,5,False,True,True,True,9,South,North,2,6,379,East
23,6,5,False,True,True,True,9,North,North,2,5,378,South
24,6,4,True,True,True,True,9,Stop,East,2,6,577,South
25,6,3,True,False,True,True,9,Stop,East,2,7,576,East
26,7,3,True,False,True,True,9,Stop,East,2,6,575,East
27,8,3,True,False,True,True,9,Stop,West,2,5,574,North
28,8,4,True,True,True,True,9,Stop,South,2,4,573,East
29,9,4,True,True,True,True,8,Stop,West,2,3,572,East
30,10,4,True,True,True,True,8,Stop,North,2,2,571,East
31,11,4,True,True,False,True,9,Stop,South,2,3,570,North
32,11,5,False,True,True,True,8,Stop,South,2,2,569,East
33,12,5,False,False,True,True,8,Stop,North,2,3,568,East
34,13,5,False,True,True,True,9,Stop,East,2,4,567,East
35,14,5,True,True,True,True,9,Stop,South,2,5,566,North
36,14,6,True,True,False,False,8,Stop,South,2,4,565,North
37,14,7,True,True,True,True,7,Stop,North,2,3,564,East
38,15,7,True,False,True,True,8,Stop,East,2,4,563,East
39,16,7,True,False,True,True,8,Stop,North,2,5,562,East
40,17,7,True,False,True,True,9,Stop,West,2,6,561,East
41,18,7,True,True,False,True,9,Stop,South,2,7,560,North
1,1,11,False,True,True,False,6,None,None,2,14,0,Stop
2,1,11,False,True,True,False,6,East,South,2,14,-1,East
3,2,11,False,False,True,True,5,East,East,2,13,-2,East
4,3,11,False,False,True,True,5,South,West,2,12,-3,East
5,4,11,False,False,True,True,5,West,West,2,11,-4,East
6,5,11,False,True,True,True,5,West,West,2,10,-5,East
7,6,11,False,True,True,True,5,South,West,2,9,194,South
8,6,10,True,True,False,True,5,South,East,2,8,393,West
9,5,10,True,True,True,False,5,East,East,2,9,392,Stop
10,5,10,True,True,True,False,5,East,East,2,9,391,Stop
11,5,10,True,True,True,False,5,East,South,2,9,390,South
12,5,9,True,True,True,True,4,West,North,2,8,389,South
13,5,8,True,True,True,True,5,East,South,2,7,388,East
14,6,8,True,True,True,True,4,East,South,2,6,387,East
15,7,8,True,True,True,True,4,East,South,2,5,386,East
16,8,8,True,True,True,True,3,North,South,2,4,385,South
17,8,7,True,True,True,True,3,North,East,2,3,384,South
18,8,6,True,True,True,False,3,South,East,2,2,383,South
19,8,5,True,True,True,True,3,South,East,2,3,382,South
20,8,4,True,True,True,True,3,East,East,2,4,381,East
21,9,4,True,True,True,True,3,East,East,2,3,380,East
22,10,4,True,True,True,True,3,West,East,2,2,379,East
23,11,4,True,True,False,True,3,North,West,2,3,378,Stop
