@relation 'textdump.arff-weka.filters.unsupervised.attribute.Remove-R2-3,11-12,25-34'

@attribute ticks numeric
@attribute pacman_pos_x numeric
@attribute pacman_pos_y numeric
@attribute legal_North {False,True}
@attribute legal_South {False,True}
@attribute legal_East {False,True}
@attribute legal_West {False,True}
@attribute legal_Stop {False,True}
@attribute ghost1_alive {False,True}
@attribute ghost2_alive {False,True}
@attribute ghost3_alive {False,True}
@attribute ghost4_alive {False,True}
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute score numeric
@attribute pacman_action {East,North,South,Stop,West,None}

@data
1,1,11,False,True,True,False,True,True,True,True,True,6,5,6,9,8,11,14,6,0,Stop
2,1,11,False,True,True,False,True,True,True,True,True,6,4,5,9,8,11,14,6,-1,Stop
3,1,11,False,True,True,False,True,True,True,True,True,6,4,6,9,9,11,14,5,-2,Stop
4,1,11,False,True,True,False,True,True,True,True,True,5,4,5,9,9,11,14,4,-3,East
5,2,11,False,False,True,True,True,True,True,True,True,4,4,5,9,9,11,14,3,-4,East
6,3,11,False,False,True,True,True,True,True,True,True,4,3,5,8,9,11,14,4,-5,East
7,4,11,False,False,True,True,True,True,True,True,True,3,3,5,7,8,11,15,4,-6,East
8,5,11,False,True,True,True,True,True,True,True,True,4,3,4,7,8,11,15,3,-7,South
9,5,10,True,True,True,False,True,True,True,True,True,3,3,4,8,9,11,15,4,-8,South
10,5,9,True,True,True,True,True,True,True,True,True,2,3,4,7,10,11,16,4,-9,West
11,4,9,False,True,True,True,True,True,True,True,True,3,3,4,8,10,10,15,4,-10,West
12,3,9,False,True,True,True,True,True,True,True,True,3,3,5,8,11,10,15,5,-11,South
13,3,8,True,True,True,True,True,True,True,True,True,4,3,4,8,10,10,15,5,-12,East
14,4,8,True,True,True,True,True,True,False,True,True,3,3,3,1,10,10,16,5,187,East
15,5,8,True,True,True,True,True,True,False,True,True,3,4,3,1,10,10,15,5,186,East
16,6,8,True,True,True,True,True,True,False,True,True,3,3,3,1,11,10,15,4,185,East
17,7,8,True,True,True,True,True,True,False,True,True,4,3,3,1,11,10,14,4,184,East
18,8,8,True,True,True,True,True,True,False,True,True,3,3,3,1,11,11,14,4,183,East
19,9,8,True,True,True,True,True,True,False,True,True,3,4,3,1,11,11,15,4,182,North
20,9,9,False,True,True,True,True,True,False,True,True,3,4,3,1,11,10,15,3,181,Stop
21,9,9,False,True,True,True,True,True,False,True,True,3,4,3,1,11,9,15,4,180,East
22,10,9,True,True,True,True,True,True,False,True,True,3,3,3,1,12,9,14,4,179,East
23,11,9,True,False,True,True,True,True,False,True,True,3,3,3,1,12,8,13,4,178,East
24,12,9,False,True,True,True,True,True,False,True,True,3,3,3,1,13,8,14,4,177,East
25,13,9,False,True,True,True,True,True,False,True,True,3,3,3,1,13,8,15,4,176,South
26,13,8,True,True,True,True,True,True,False,False,True,3,4,3,1,5,1,16,4,375,South
27,13,7,True,False,True,True,True,True,False,False,True,2,4,3,1,5,1,15,4,374,East
28,14,7,True,True,True,True,True,True,False,False,True,2,4,3,1,5,1,15,3,373,South
29,14,6,True,True,False,False,True,True,False,False,True,2,3,3,1,5,1,16,3,372,South
30,14,5,True,True,True,True,True,True,False,False,True,2,3,3,1,5,1,16,4,371,East
31,15,5,False,True,True,True,True,True,False,False,True,3,3,3,1,5,1,15,4,370,East
32,16,5,False,True,True,True,True,True,False,False,True,3,3,3,1,5,1,15,3,369,South
33,16,4,True,True,True,True,True,True,False,False,True,3,4,3,1,5,1,15,4,368,West
34,15,4,True,True,True,True,True,True,False,False,False,3,4,3,1,5,1,15,5,567,West
