@relation 'training_tutorial1.arff-weka.filters.unsupervised.attribute.Remove-R1-3,11-12,25-28,33-35,37-weka.filters.unsupervised.attribute.AddExpression-Ea12-a1-Ndiff1_x-weka.filters.unsupervised.attribute.AddExpression-Ea14-a1-Ndiff2_x-weka.filters.unsupervised.attribute.AddExpression-Ea16-a1-Ndiff3_x-weka.filters.unsupervised.attribute.AddExpression-Ea18-a1-Ndiff4_x-weka.filters.unsupervised.attribute.AddExpression-Ea13-a2-Ndiff1_y-weka.filters.unsupervised.attribute.AddExpression-Ea15-a2-Ndiff2_y-weka.filters.unsupervised.attribute.AddExpression-Ea17-a2-Ndiff3_y-weka.filters.unsupervised.attribute.AddExpression-Ea19-a2-Ndiff4_y'

@attribute pacman_pos_x numeric
@attribute pacman_pos_y numeric
@attribute legal_North {False,True}
@attribute legal_South {False,True}
@attribute legal_East {False,True}
@attribute legal_West {False,True}
@attribute legal_Stop {False,True}
@attribute ghost1_alive {False,True}
@attribute ghost2_alive {False,True}
@attribute ghost3_alive {False,True}
@attribute ghost4_alive {False,True}
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute ghost1_dist numeric
@attribute ghost2_dist numeric
@attribute ghost3_dist numeric
@attribute ghost4_dist numeric
@attribute pacman_action {East,North,South,Stop,West,None}
@attribute diff1_x numeric
@attribute diff2_x numeric
@attribute diff3_x numeric
@attribute diff4_x numeric
@attribute diff1_y numeric
@attribute diff2_y numeric
@attribute diff3_y numeric
@attribute diff4_y numeric

@data
1,18,False,True,True,False,True,True,True,True,True,5,9,11,3,17,6,25,7,13,25,28,35,South,4,10,16,24,-9,-15,-12,-11
1,17,True,True,False,False,True,True,True,True,True,5,9,11,4,17,6,25,7,12,23,27,34,South,4,10,16,24,-8,-13,-11,-10
1,16,True,True,True,False,True,True,True,True,True,5,8,11,3,16,6,25,7,12,23,25,32,South,4,10,15,24,-8,-13,-10,-9
1,15,True,True,True,False,True,True,True,True,True,6,8,11,3,16,6,24,7,12,22,24,32,South,5,10,15,23,-7,-12,-9,-8
1,14,True,True,True,False,True,True,True,True,True,6,9,11,3,16,6,25,7,10,21,23,30,South,5,10,15,24,-5,-11,-8,-7
1,13,True,True,False,False,True,True,True,True,True,6,10,11,4,16,6,24,7,8,19,22,30,South,5,10,15,23,-3,-9,-7,-6
1,12,True,True,True,False,True,True,True,True,True,6,9,11,4,15,6,24,6,8,18,20,30,South,5,10,14,23,-3,-8,-6,-6
1,11,True,True,False,False,True,True,True,True,True,5,9,11,3,16,6,24,5,6,18,20,28,South,4,10,15,23,-2,-8,-5,-6
1,10,True,True,False,False,True,True,True,True,True,6,9,10,3,17,6,23,5,6,16,20,28,South,5,9,16,22,-1,-7,-4,-5
1,9,True,True,False,False,True,True,True,True,True,6,9,9,3,16,6,23,4,5,14,18,27,South,5,8,15,22,0,-6,-3,-5
1,8,True,True,False,False,True,True,True,True,True,5,9,10,3,16,6,23,4,5,14,17,27,South,4,9,15,22,1,-5,-2,-4
1,7,True,True,False,False,True,True,True,True,True,5,10,10,4,16,6,24,4,7,12,16,26,South,4,9,15,23,3,-3,-1,-3
