@RELATION textdump.arff

   @ATTRIBUTE ticks NUMERIC
   @ATTRIBUTE screen_dim_x NUMERIC
   @ATTRIBUTE screen_dim_y NUMERIC
   @ATTRIBUTE pacman_pos_x NUMERIC
   @ATTRIBUTE pacman_pos_y NUMERIC
   @ATTRIBUTE legal_North {False, True}
   @ATTRIBUTE legal_South {False, True}
   @ATTRIBUTE legal_East {False, True}
   @ATTRIBUTE legal_West {False, True}
   @ATTRIBUTE legal_Stop {False, True}
   @ATTRIBUTE pacman_dir {East, North, South, Stop, West}
   @ATTRIBUTE ghost_num NUMERIC
   @ATTRIBUTE ghost1_alive {False, True}
   @ATTRIBUTE ghost2_alive {False, True}
   @ATTRIBUTE ghost3_alive {False, True}
   @ATTRIBUTE ghost4_alive {False, True}
   @ATTRIBUTE ghost1_x NUMERIC
   @ATTRIBUTE ghost1_y NUMERIC
   @ATTRIBUTE ghost2_x NUMERIC
   @ATTRIBUTE ghost2_y NUMERIC
   @ATTRIBUTE ghost3_x NUMERIC
   @ATTRIBUTE ghost3_y NUMERIC
   @ATTRIBUTE ghost4_x NUMERIC
   @ATTRIBUTE ghost4_y NUMERIC
   @ATTRIBUTE ghost1_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost2_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost3_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost4_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost1_dist NUMERIC
   @ATTRIBUTE ghost2_dist NUMERIC
   @ATTRIBUTE ghost3_dist NUMERIC
   @ATTRIBUTE ghost4_dist NUMERIC
   @ATTRIBUTE pacdots_remaining NUMERIC
   @ATTRIBUTE nearestpacdot_dist NUMERIC
   @ATTRIBUTE score NUMERIC

   @data
0, 20, 13, 1, 11, False, True, True, False, True, Stop, 4, True, True, True, True, 6, 5, 6, 9, 8, 11, 14, 6, None, None, None, None, 11, 7, 7, 18, 2, 14, 0
1, 20, 13, 1, 11, False, True, True, False, True, Stop, 4, True, True, True, True, 6, 4, 7, 9, 8, 11, 14, 6, South, East, Stop, South, 12, 8, 7, 19, 2, 14, -1
2, 20, 13, 1, 11, False, True, True, False, True, Stop, 4, True, True, True, True, 5, 4, 6, 9, 7, 11, 14, 5, West, West, West, South, 11, 7, 6, 20, 2, 14, -2
3, 20, 13, 1, 11, False, True, True, False, True, Stop, 4, True, True, True, True, 4, 4, 6, 8, 7, 11, 14, 4, West, South, West, South, 10, 8, 6, 21, 2, 14, -3
4, 20, 13, 1, 11, False, True, True, False, True, Stop, 4, True, True, True, True, 4, 4, 6, 9, 8, 11, 14, 3, West, North, East, South, 10, 7, 7, 21, 2, 14, -4
5, 20, 13, 1, 11, False, True, True, False, True, Stop, 4, True, True, True, True, 4, 5, 7, 9, 8, 11, 14, 3, North, East, East, East, 9, 8, 7, 22, 2, 14, -5
6, 20, 13, 1, 11, False, True, True, False, True, Stop, 4, True, True, True, True, 3, 5, 8, 9, 9, 11, 15, 3, West, East, East, North, 8, 9, 8, 21, 2, 14, -6
7, 20, 13, 1, 11, False, True, True, False, True, Stop, 4, True, True, True, True, 3, 4, 7, 9, 10, 11, 15, 4, South, West, East, West, 9, 8, 9, 20, 2, 14, -7
8, 20, 13, 1, 11, False, True, True, False, True, Stop, 4, True, True, True, True, 4, 4, 6, 9, 11, 11, 14, 4, East, West, East, East, 10, 7, 10, 21, 2, 14, -8
9, 20, 13, 1, 11, False, True, True, False, True, Stop, 4, True, True, True, True, 4, 3, 6, 8, 11, 11, 15, 4, South, South, East, East, 11, 8, 10, 21, 2, 14, -9
10, 20, 13, 2, 11, False, False, True, True, True, East, 4, True, True, True, True, 3, 3, 6, 7, 10, 11, 15, 4, West, South, West, West, 9, 8, 8, 19, 2, 13, -10
