@relation 'train_RF.arff-weka.filters.unsupervised.attribute.Remove-R1-3,11-12,25-28,33-35,37-weka.filters.unsupervised.attribute.AddExpression-Ea12-a1-Ndiff1_x-weka.filters.unsupervised.attribute.AddExpression-Ea14-a1-Ndiff2_x-weka.filters.unsupervised.attribute.AddExpression-Ea16-a1-Ndiff3_x-weka.filters.unsupervised.attribute.AddExpression-Ea18-a1-Ndiff4_x-weka.filters.unsupervised.attribute.AddExpression-Ea13-a2-Ndiff1_y-weka.filters.unsupervised.attribute.AddExpression-Ea15-a2-Ndiff2_y-weka.filters.unsupervised.attribute.AddExpression-Ea17-a2-Ndiff3_y-weka.filters.unsupervised.attribute.AddExpression-Ea19-a2-Ndiff4_y-weka.filters.unsupervised.attribute.Remove-R12-23-weka.filters.unsupervised.attribute.Reorder-Rfirst-11,13-last,12'

@attribute pacman_pos_x numeric
@attribute pacman_pos_y numeric
@attribute legal_North {False,True}
@attribute legal_South {False,True}
@attribute legal_East {False,True}
@attribute legal_West {False,True}
@attribute legal_Stop {False,True}
@attribute ghost1_alive {False,True}
@attribute ghost2_alive {False,True}
@attribute ghost3_alive {False,True}
@attribute ghost4_alive {False,True}
@attribute diff1_x numeric
@attribute diff2_x numeric
@attribute diff3_x numeric
@attribute diff4_x numeric
@attribute diff1_y numeric
@attribute diff2_y numeric
@attribute diff3_y numeric
@attribute diff4_y numeric
@attribute pacman_action {East,North,South,Stop,West,None}

@data
12,10,True,True,True,True,True,True,True,True,True,-7,-7,1,1,-4,2,-4,2,Stop
12,10,True,True,True,True,True,True,True,True,True,-6,-6,1,1,-4,2,-4,2,Stop
12,10,True,True,True,True,True,True,True,True,True,-6,-6,0,0,-4,3,-4,2,Stop
12,10,True,True,True,True,True,True,True,True,True,-6,-5,1,1,-4,3,-4,2,Stop
12,10,True,True,True,True,True,True,True,True,True,-6,-5,1,1,-5,3,-3,3,Stop
12,10,True,True,True,True,True,True,True,True,True,-6,-5,2,1,-5,2,-3,3,Stop
12,10,True,True,True,True,True,True,True,True,True,-6,-5,2,1,-5,3,-4,2,North
12,11,True,True,True,True,True,True,True,True,False,-6,-5,2,1,-5,2,-5,0,North
12,12,True,True,True,True,True,True,True,True,False,-6,-6,2,-5,-6,1,-7,-11,East
13,12,True,True,True,True,True,True,True,True,False,-7,-7,1,-6,-6,0,-7,-11,East
14,12,True,True,True,True,True,True,True,True,False,-8,-7,0,-7,-6,0,-6,-11,West
13,12,True,True,True,True,True,True,True,True,False,-7,-6,2,-6,-5,1,-6,-11,West
12,12,True,True,True,True,True,True,True,True,False,-5,-5,4,-5,-5,1,-6,-11,West
11,12,True,True,True,True,True,True,True,True,False,-5,-4,5,-4,-5,2,-7,-11,West
10,12,True,True,True,True,True,True,True,True,False,-5,-2,5,-3,-5,2,-7,-11,West
9,12,True,True,True,True,True,True,True,True,False,-5,0,5,-2,-5,2,-7,-11,West
8,12,True,True,True,True,True,True,True,True,False,-4,2,6,-1,-4,2,-6,-11,North
8,13,True,True,True,True,True,True,True,True,False,-4,2,6,-1,-5,1,-8,-12,North
8,14,False,True,True,True,True,True,True,True,False,-4,2,7,-1,-6,0,-9,-13,East
9,14,False,True,True,True,True,True,True,True,False,-5,2,6,-2,-6,0,-10,-13,East
10,14,False,True,True,True,True,True,True,True,False,-5,1,5,-3,-6,0,-11,-13,East
11,14,False,True,True,True,True,True,False,True,False,-7,-8,4,-4,-6,-13,-10,-13,East
12,14,False,True,True,True,True,True,False,True,False,-8,-9,4,-5,-6,-13,-10,-13,East
13,14,False,True,True,True,True,True,False,True,False,-8,-10,3,-6,-6,-13,-10,-13,South
13,13,True,True,True,True,True,True,False,True,False,-8,-10,2,-6,-6,-12,-9,-12,South
13,12,True,True,True,True,True,True,False,True,False,-8,-10,2,-6,-6,-11,-7,-11,South
13,11,True,True,True,True,True,True,False,True,False,-8,-10,3,-6,-5,-10,-6,-10,South
13,10,True,True,True,True,True,True,False,True,False,-8,-10,3,-6,-5,-9,-6,-9,South
13,9,True,True,True,True,True,True,False,True,False,-8,-10,4,-6,-3,-8,-5,-8,South
13,8,True,True,True,True,True,True,False,True,False,-8,-10,5,-6,-1,-7,-4,-7,South
13,7,True,True,True,True,True,True,False,True,False,-8,-10,5,-6,0,-6,-2,-6,South
13,6,True,True,True,True,True,True,False,True,False,-7,-10,4,-6,1,-5,-1,-5,East
14,6,True,True,True,True,True,True,False,True,False,-7,-11,2,-7,1,-5,-1,-5,East
15,6,True,True,True,True,True,True,False,True,False,-8,-12,1,-8,2,-5,0,-5,East
16,6,True,True,True,True,True,True,False,False,False,-8,-13,-11,-9,2,-5,-5,-5,East
17,6,True,True,True,True,True,True,False,False,False,-10,-14,-12,-10,2,-5,-5,-5,East
18,6,True,True,False,True,True,True,False,False,False,-12,-15,-13,-11,2,-5,-5,-5,Stop
18,6,True,True,False,True,True,True,False,False,False,-12,-15,-13,-11,3,-5,-5,-5,West
17,6,True,True,True,True,True,True,False,False,False,-11,-14,-12,-10,2,-5,-5,-5,West
16,6,True,True,True,True,True,True,False,False,False,-11,-13,-11,-9,2,-5,-5,-5,West
15,6,True,True,True,True,True,True,False,False,False,-11,-12,-10,-8,2,-5,-5,-5,West
14,6,True,True,True,True,True,True,False,False,False,-11,-11,-9,-7,2,-5,-5,-5,West
13,6,True,True,True,True,True,True,False,False,False,-11,-10,-8,-6,2,-5,-5,-5,West
12,6,True,True,True,True,True,True,False,False,False,-9,-9,-7,-5,2,-5,-5,-5,West
11,6,True,True,True,True,True,True,False,False,False,-8,-8,-6,-4,2,-5,-5,-5,West
10,6,True,True,True,True,True,True,False,False,False,-6,-7,-5,-3,2,-5,-5,-5,West
9,6,True,True,True,True,True,True,False,False,False,-5,-6,-4,-2,1,-5,-5,-5,West
8,6,True,True,True,True,True,True,False,False,False,-4,-5,-3,-1,1,-5,-5,-5,West
7,6,True,True,True,True,True,True,False,False,False,-3,-4,-2,0,1,-5,-5,-5,West
6,6,True,True,True,True,True,True,False,False,False,-2,-3,-1,1,0,-5,-5,-5,West
1,11,False,True,True,False,True,True,True,True,True,5,5,7,13,-6,-2,0,-5,Stop
1,11,False,True,True,False,True,True,True,True,True,6,5,8,13,-6,-2,0,-5,Stop
1,11,False,True,True,False,True,True,True,True,True,6,4,9,13,-6,-2,0,-4,Stop
1,11,False,True,True,False,True,True,True,True,True,5,5,9,14,-6,-2,-1,-4,Stop
1,11,False,True,True,False,True,True,True,True,True,5,5,9,15,-6,-2,-1,-4,Stop
1,11,False,True,True,False,True,True,True,True,True,6,5,10,15,-6,-3,-1,-3,Stop
1,11,False,True,True,False,True,True,True,True,True,5,5,10,14,-6,-3,-2,-3,East
2,11,False,False,True,True,True,True,True,True,True,4,3,10,13,-7,-3,-2,-3,East
3,11,False,False,True,True,True,True,True,True,True,4,1,9,12,-7,-3,-3,-2,East
4,11,False,False,True,True,True,True,True,True,True,3,0,8,11,-7,-4,-4,-2,East
5,11,False,True,True,True,True,True,True,True,True,1,0,7,9,-7,-4,-3,-2,South
5,10,True,True,True,False,True,True,True,True,True,1,0,8,9,-6,-2,-2,0,South
