@RELATION training_keyboard.arff

   @ATTRIBUTE ticks NUMERIC
   @ATTRIBUTE screen_dim_x NUMERIC
   @ATTRIBUTE screen_dim_y NUMERIC
   @ATTRIBUTE pacman_pos_x NUMERIC
   @ATTRIBUTE pacman_pos_y NUMERIC
   @ATTRIBUTE legal_North {False, True}
   @ATTRIBUTE legal_South {False, True}
   @ATTRIBUTE legal_East {False, True}
   @ATTRIBUTE legal_West {False, True}
   @ATTRIBUTE legal_Stop {False, True}
   @ATTRIBUTE pacman_dir {East, North, South, Stop, West}
   @ATTRIBUTE ghost_num NUMERIC
   @ATTRIBUTE ghost1_alive {False, True}
   @ATTRIBUTE ghost2_alive {False, True}
   @ATTRIBUTE ghost3_alive {False, True}
   @ATTRIBUTE ghost4_alive {False, True}
   @ATTRIBUTE ghost1_x NUMERIC
   @ATTRIBUTE ghost1_y NUMERIC
   @ATTRIBUTE ghost2_x NUMERIC
   @ATTRIBUTE ghost2_y NUMERIC
   @ATTRIBUTE ghost3_x NUMERIC
   @ATTRIBUTE ghost3_y NUMERIC
   @ATTRIBUTE ghost4_x NUMERIC
   @ATTRIBUTE ghost4_y NUMERIC
   @ATTRIBUTE ghost1_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost2_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost3_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost4_dir {East, North, South, Stop, West, None}
   @ATTRIBUTE ghost1_dist NUMERIC
   @ATTRIBUTE ghost2_dist NUMERIC
   @ATTRIBUTE ghost3_dist NUMERIC
   @ATTRIBUTE ghost4_dist NUMERIC
   @ATTRIBUTE pacdots_remaining NUMERIC
   @ATTRIBUTE nearestpacdot_dist NUMERIC
   @ATTRIBUTE currentTickScore NUMERIC
   @ATTRIBUTE pacman_action {East, North, South, Stop, West, None}
   @ATTRIBUTE nextTickScore NUMERIC

   @data
1, 20, 9, 9, 1, False, False, True, True, True, Stop, 4, True, True, True, True, 8, 5, 10, 5, 11, 5, 17, 7, None, None, None, None, 5, 5, 6, 14, 68, 1, 0, Stop, -1
2, 20, 9, 9, 1, False, False, True, True, True, Stop, 4, True, True, True, True, 8, 5, 10, 5, 10, 5, 17, 7, Stop, Stop, West, Stop, 5, 5, 5, 14, 68, 1, -1, Stop, -2
3, 20, 9, 9, 1, False, False, True, True, True, Stop, 4, True, True, True, True, 7, 5, 10, 6, 11, 5, 17, 7, West, North, East, Stop, 6, 6, 6, 14, 68, 1, -2, Stop, -3
4, 20, 9, 9, 1, False, False, True, True, True, Stop, 4, True, True, True, True, 7, 5, 10, 7, 11, 5, 17, 7, West, North, East, East, 6, 7, 6, 15, 68, 1, -3, Stop, -4
5, 20, 9, 9, 1, False, False, True, True, True, Stop, 4, True, True, True, True, 8, 5, 10, 7, 11, 5, 18, 7, East, North, East, East, 5, 7, 6, 15, 68, 1, -4, Stop, -5
6, 20, 9, 9, 1, False, False, True, True, True, Stop, 4, True, True, True, True, 8, 5, 10, 7, 11, 5, 18, 7, East, North, East, West, 5, 7, 6, 14, 68, 1, -5, Stop, -6
7, 20, 9, 9, 1, False, False, True, True, True, Stop, 4, True, True, True, True, 8, 5, 9, 7, 10, 5, 17, 7, East, West, West, West, 5, 6, 5, 14, 68, 1, -6, West, 93
8, 20, 9, 8, 1, True, False, True, True, True, West, 4, True, True, True, True, 8, 5, 9, 6, 9, 5, 17, 7, East, South, West, West, 4, 6, 5, 15, 67, 1, 93, North, 92
9, 20, 9, 8, 2, True, True, False, False, True, North, 4, True, True, True, True, 7, 5, 9, 6, 8, 5, 17, 7, West, South, West, West, 4, 5, 3, 14, 67, 2, 92, North, 91
10, 20, 9, 8, 3, False, True, True, False, True, North, 4, True, True, True, True, 8, 5, 10, 6, 8, 5, 17, 7, East, East, West, East, 2, 5, 2, 14, 67, 2, 91, East, 90
11, 20, 9, 9, 3, True, False, True, True, True, East, 4, True, True, True, True, 8, 5, 10, 5, 8, 5, 18, 7, East, South, West, East, 3, 3, 3, 13, 67, 3, 90, North, 89
12, 20, 9, 9, 4, True, True, False, False, True, North, 4, True, True, True, True, 8, 5, 10, 6, 7, 5, 18, 7, East, North, West, East, 2, 3, 3, 12, 67, 2, 89, North, 88
13, 20, 9, 9, 5, True, True, True, True, True, North, 4, True, True, True, True, 7, 5, 9, 6, 6, 5, 18, 7, West, West, West, West, 2, 1, 3, 10, 67, 1, 88, West, 87
14, 20, 9, 8, 5, False, False, True, True, True, West, 4, True, True, True, True, 7, 5, 9, 5, 6, 6, 17, 7, West, South, North, West, 1, 1, 3, 11, 67, 2, 87, West, 286
15, 20, 9, 7, 5, False, False, True, True, True, West, 4, False, True, True, True, 1, 2, 9, 5, 6, 6, 17, 7, North, South, North, East, 9, 2, 2, 13, 67, 1, 286, West, 385
16, 20, 9, 6, 5, True, True, True, True, True, West, 4, False, True, True, True, 1, 2, 10, 5, 6, 6, 18, 7, North, East, North, East, 8, 4, 1, 14, 66, 1, 385, West, 484
17, 20, 9, 5, 5, False, False, True, True, True, West, 4, False, True, True, True, 1, 3, 11, 5, 6, 6, 18, 7, North, East, North, West, 6, 6, 2, 14, 65, 1, 484, West, 583
18, 20, 9, 4, 5, True, False, True, True, True, West, 4, False, True, True, True, 1, 4, 11, 5, 6, 7, 17, 7, North, East, North, East, 4, 7, 4, 16, 64, 1, 583, North, 682
19, 20, 9, 4, 6, True, True, False, False, True, North, 4, False, True, True, True, 1, 5, 10, 5, 6, 6, 18, 7, North, West, South, South, 4, 7, 2, 14, 63, 1, 682, North, 781
20, 20, 9, 4, 7, False, True, False, True, True, North, 4, False, True, True, True, 2, 5, 10, 6, 6, 7, 18, 6, East, North, North, North, 4, 7, 2, 14, 62, 1, 781, Stop, 780
21, 20, 9, 4, 7, False, True, False, True, True, North, 4, False, True, True, True, 2, 5, 9, 6, 6, 7, 18, 7, East, West, North, North, 4, 6, 2, 14, 62, 1, 780, Stop, 779
22, 20, 9, 4, 7, False, True, False, True, True, North, 4, False, True, True, True, 1, 5, 10, 6, 6, 7, 18, 7, West, East, North, North, 5, 7, 2, 14, 62, 1, 779, South, 778
23, 20, 9, 4, 6, True, True, False, False, True, South, 4, False, True, True, True, 1, 6, 10, 7, 6, 6, 18, 7, North, North, South, North, 3, 7, 2, 15, 62, 2, 778, South, 777
24, 20, 9, 4, 5, True, False, True, True, True, South, 4, False, True, True, True, 1, 6, 10, 6, 6, 6, 18, 7, North, South, South, South, 4, 7, 3, 15, 62, 1, 777, East, 776
25, 20, 9, 5, 5, False, False, True, True, True, East, 4, False, True, True, True, 1, 5, 10, 6, 6, 6, 18, 6, South, South, South, South, 4, 6, 2, 13, 62, 2, 776, East, 775
26, 20, 9, 6, 5, True, True, True, True, True, East, 4, False, True, True, True, 1, 5, 10, 5, 6, 7, 18, 5, South, South, North, South, 5, 4, 2, 13, 62, 1, 775, North, 874
