@relation 'training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R1-3,11,25-28,33-34,37-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.AddExpression-Ea12-a1-Ndiff1_x-weka.filters.unsupervised.attribute.AddExpression-Ea14-a1-Ndiff2_x-weka.filters.unsupervised.attribute.AddExpression-Ea16-a1-Ndiff3_x-weka.filters.unsupervised.attribute.AddExpression-Ea18-a1-Ndiff4_x-weka.filters.unsupervised.attribute.AddExpression-Ea13-a2-Ndiff1_y-weka.filters.unsupervised.attribute.AddExpression-Ea15-a2-Ndiff2_y-weka.filters.unsupervised.attribute.AddExpression-Ea17-a2-Ndiff3_y-weka.filters.unsupervised.attribute.AddExpression-Ea19-a2-Ndiff4_y-weka.filters.unsupervised.attribute.Remove-R12-23'

@attribute pacman_pos_x numeric
@attribute pacman_pos_y numeric
@attribute legal_North {False,True}
@attribute legal_South {False,True}
@attribute legal_East {False,True}
@attribute legal_West {False,True}
@attribute legal_Stop {False,True}
@attribute ghost1_alive {False,True}
@attribute ghost2_alive {False,True}
@attribute ghost3_alive {False,True}
@attribute ghost4_alive {False,True}
@attribute pacman_action {East,North,South,Stop,West,None}
@attribute diff1_x numeric
@attribute diff2_x numeric
@attribute diff3_x numeric
@attribute diff4_x numeric
@attribute diff1_y numeric
@attribute diff2_y numeric
@attribute diff3_y numeric
@attribute diff4_y numeric

@data
9,1,False,False,True,True,True,True,True,True,True,Stop,-1,1,2,8,4,4,4,6
9,1,False,False,True,True,True,True,True,True,True,Stop,-1,1,1,8,4,4,4,6
9,1,False,False,True,True,True,True,True,True,True,Stop,-2,1,2,8,4,5,4,6
9,1,False,False,True,True,True,True,True,True,True,Stop,-2,1,2,8,4,6,4,6
9,1,False,False,True,True,True,True,True,True,True,Stop,-1,1,2,9,4,6,4,6
9,1,False,False,True,True,True,True,True,True,True,Stop,-1,1,2,9,4,6,4,6
9,1,False,False,True,True,True,True,True,True,True,West,-1,0,1,8,4,6,4,6
8,1,True,False,True,True,True,True,True,True,True,North,0,1,1,9,4,5,4,6
8,2,True,True,False,False,True,True,True,True,True,North,-1,1,0,9,3,4,3,5
8,3,False,True,True,False,True,True,True,True,True,East,0,2,0,9,2,3,2,4
9,3,True,False,True,True,True,True,True,True,True,North,-1,1,-1,9,2,2,2,4
9,4,True,True,False,False,True,True,True,True,True,North,-1,1,-2,9,1,2,1,3
9,5,True,True,True,True,True,True,True,True,True,West,-2,0,-3,9,0,1,0,2
8,5,False,False,True,True,True,True,True,True,True,West,-1,1,-2,9,0,0,1,2
7,5,False,False,True,True,True,False,True,True,True,West,-6,2,-1,10,-3,0,1,2
6,5,True,True,True,True,True,False,True,True,True,West,-5,4,0,12,-3,0,1,2
5,5,False,False,True,True,True,False,True,True,True,West,-4,6,1,13,-2,0,1,2
4,5,True,False,True,True,True,False,True,True,True,North,-3,7,2,13,-1,0,2,2
4,6,True,True,False,False,True,False,True,True,True,North,-3,6,2,14,-1,-1,0,1
4,7,False,True,False,True,True,False,True,True,True,Stop,-2,6,2,14,-2,-1,0,-1
