@relation 'training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R1-3,11,25-28,33-34,37-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.AddExpression-Ea12-a1-Ndiff1_x-weka.filters.unsupervised.attribute.AddExpression-Ea14-a1-Ndiff2_x-weka.filters.unsupervised.attribute.AddExpression-Ea16-a1-Ndiff3_x-weka.filters.unsupervised.attribute.AddExpression-Ea18-a1-Ndiff4_x-weka.filters.unsupervised.attribute.AddExpression-Ea13-a2-Ndiff1_y-weka.filters.unsupervised.attribute.AddExpression-Ea15-a2-Ndiff2_y-weka.filters.unsupervised.attribute.AddExpression-Ea17-a2-Ndiff3_y-weka.filters.unsupervised.attribute.AddExpression-Ea19-a2-Ndiff4_y-weka.filters.unsupervised.attribute.Remove-R12-23-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute pacman_pos_x numeric
@attribute pacman_pos_y numeric
@attribute legal_North {False,True}
@attribute legal_South {False,True}
@attribute legal_East {False,True}
@attribute legal_West {False,True}
@attribute legal_Stop {False,True}
@attribute ghost1_alive {False,True}
@attribute ghost2_alive {False,True}
@attribute ghost3_alive {False,True}
@attribute ghost4_alive {False,True}
@attribute pacman_action {East,North,South,Stop,West,None}
@attribute diff1_x numeric
@attribute diff2_x numeric
@attribute diff3_x numeric
@attribute diff4_x numeric
@attribute diff1_y numeric
@attribute diff2_y numeric
@attribute diff3_y numeric
@attribute diff4_y numeric

@data
0.296296,0,False,False,True,True,True,True,True,True,True,Stop,0.722222,0.742857,0.595238,0.55814,0.666667,0.65625,0.677419,0.793103
0.296296,0,False,False,True,True,True,True,True,True,True,Stop,0.722222,0.742857,0.571429,0.55814,0.666667,0.65625,0.677419,0.793103
0.296296,0,False,False,True,True,True,True,True,True,True,Stop,0.694444,0.742857,0.595238,0.55814,0.666667,0.6875,0.677419,0.793103
0.296296,0,False,False,True,True,True,True,True,True,True,Stop,0.694444,0.742857,0.595238,0.55814,0.666667,0.71875,0.677419,0.793103
0.296296,0,False,False,True,True,True,True,True,True,True,Stop,0.722222,0.742857,0.595238,0.581395,0.666667,0.71875,0.677419,0.793103
0.296296,0,False,False,True,True,True,True,True,True,True,Stop,0.722222,0.742857,0.595238,0.581395,0.666667,0.71875,0.677419,0.793103
0.296296,0,False,False,True,True,True,True,True,True,True,West,0.722222,0.714286,0.571429,0.55814,0.666667,0.71875,0.677419,0.793103
0.259259,0,True,False,True,True,True,True,True,True,True,North,0.75,0.742857,0.571429,0.581395,0.666667,0.6875,0.677419,0.793103
0.259259,0.058824,True,True,False,False,True,True,True,True,True,North,0.722222,0.742857,0.547619,0.581395,0.625,0.65625,0.645161,0.758621
0.259259,0.117647,False,True,True,False,True,True,True,True,True,East,0.75,0.771429,0.547619,0.581395,0.583333,0.625,0.612903,0.724138
0.296296,0.117647,True,False,True,True,True,True,True,True,True,North,0.722222,0.742857,0.52381,0.581395,0.583333,0.59375,0.612903,0.724138
0.296296,0.176471,True,True,False,False,True,True,True,True,True,North,0.722222,0.742857,0.5,0.581395,0.541667,0.59375,0.580645,0.689655
0.296296,0.235294,True,True,True,True,True,True,True,True,True,West,0.694444,0.714286,0.47619,0.581395,0.5,0.5625,0.548387,0.655172
0.259259,0.235294,False,False,True,True,True,True,True,True,True,West,0.722222,0.742857,0.5,0.581395,0.5,0.53125,0.580645,0.655172
0.222222,0.235294,False,False,True,True,True,False,True,True,True,West,0.583333,0.771429,0.52381,0.604651,0.375,0.53125,0.580645,0.655172
0.185185,0.235294,True,True,True,True,True,False,True,True,True,West,0.611111,0.828571,0.547619,0.651163,0.375,0.53125,0.580645,0.655172
0.148148,0.235294,False,False,True,True,True,False,True,True,True,West,0.638889,0.885714,0.571429,0.674419,0.416667,0.53125,0.580645,0.655172
0.111111,0.235294,True,False,True,True,True,False,True,True,True,North,0.666667,0.914286,0.595238,0.674419,0.458333,0.53125,0.612903,0.655172
0.111111,0.294118,True,True,False,False,True,False,True,True,True,North,0.666667,0.885714,0.595238,0.697674,0.458333,0.5,0.548387,0.62069
0.111111,0.352941,False,True,False,True,True,False,True,True,True,Stop,0.694444,0.885714,0.595238,0.697674,0.416667,0.5,0.548387,0.551724
0.111111,0.352941,False,True,False,True,True,False,True,True,True,Stop,0.694444,0.857143,0.595238,0.697674,0.416667,0.5,0.548387,0.586207
0.111111,0.352941,False,True,False,True,True,False,True,True,True,South,0.666667,0.885714,0.595238,0.697674,0.416667,0.5,0.548387,0.586207
0.111111,0.294118,True,True,False,False,True,False,True,True,True,South,0.666667,0.885714,0.595238,0.697674,0.5,0.5625,0.548387,0.62069
0.111111,0.235294,True,False,True,True,True,False,True,True,True,East,0.666667,0.885714,0.595238,0.697674,0.541667,0.5625,0.580645,0.655172
0.148148,0.235294,False,False,True,True,True,False,True,True,True,East,0.638889,0.857143,0.571429,0.674419,0.5,0.5625,0.580645,0.62069
0.185185,0.235294,True,True,True,True,True,False,True,True,True,North,0.611111,0.828571,0.547619,0.651163,0.5,0.53125,0.612903,0.586207
0.185185,0.294118,True,True,False,False,True,False,True,True,True,North,0.611111,0.857143,0.571429,0.651163,0.458333,0.5,0.580645,0.517241
0.185185,0.352941,False,True,True,False,True,False,True,True,True,East,0.638889,0.857143,0.571429,0.651163,0.416667,0.46875,0.548387,0.448276
0.222222,0.352941,False,False,True,True,True,False,True,False,True,East,0.611111,0.8,0.5,0.627907,0.416667,0.46875,0.354839,0.413793
0.259259,0.352941,False,False,True,True,True,False,True,False,True,East,0.555556,0.771429,0.452381,0.604651,0.416667,0.46875,0.354839,0.448276
