@relation 'training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R1-12,17-28,36-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute ghost1_alive=True numeric
@attribute ghost2_alive=True numeric
@attribute ghost3_alive=True numeric
@attribute ghost4_alive=True numeric
@attribute ghost1_dist numeric
@attribute ghost2_dist numeric
@attribute ghost3_dist numeric
@attribute ghost4_dist numeric
@attribute pacdots_remaining numeric
@attribute nearestpacdot_dist numeric
@attribute currentTickScore numeric
@attribute nextTickScore numeric

@data
1,1,1,1,0.285714,0.230769,0.212121,0.405405,0.296943,0.111111,0.00698,-1
1,1,1,1,0.285714,0.230769,0.181818,0.405405,0.296943,0.111111,0.006722,-2
1,1,1,1,0.333333,0.269231,0.212121,0.405405,0.296943,0.111111,0.006463,-3
1,1,1,1,0.333333,0.307692,0.212121,0.432432,0.296943,0.111111,0.006205,-4
1,1,1,1,0.285714,0.307692,0.212121,0.432432,0.296943,0.111111,0.005946,-5
1,1,1,1,0.285714,0.307692,0.212121,0.405405,0.296943,0.111111,0.005688,-6
1,1,1,1,0.285714,0.269231,0.181818,0.405405,0.296943,0.111111,0.005429,93
1,1,1,1,0.238095,0.269231,0.181818,0.432432,0.292576,0.111111,0.031024,92
1,1,1,1,0.238095,0.230769,0.121212,0.405405,0.292576,0.166667,0.030765,91
1,1,1,1,0.142857,0.230769,0.090909,0.405405,0.292576,0.166667,0.030507,90
1,1,1,1,0.190476,0.153846,0.121212,0.378378,0.292576,0.222222,0.030248,89
1,1,1,1,0.142857,0.153846,0.121212,0.351351,0.292576,0.166667,0.02999,88
1,1,1,1,0.142857,0.076923,0.121212,0.297297,0.292576,0.111111,0.029731,87
1,1,1,1,0.095238,0.076923,0.121212,0.324324,0.292576,0.166667,0.029473,286
0,1,1,1,0.47619,0.115385,0.090909,0.378378,0.292576,0.111111,0.08092,385
0,1,1,1,0.428571,0.192308,0.060606,0.405405,0.28821,0.111111,0.106515,484
0,1,1,1,0.333333,0.269231,0.090909,0.405405,0.283843,0.111111,0.13211,583
