@relation 'training_tutorial1.arff-weka.filters.unsupervised.attribute.Remove-R1-12,17-28,36-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute ghost1_alive=True numeric
@attribute ghost2_alive=True numeric
@attribute ghost3_alive=True numeric
@attribute ghost4_alive=True numeric
@attribute ghost1_dist numeric
@attribute ghost2_dist numeric
@attribute ghost3_dist numeric
@attribute ghost4_dist numeric
@attribute pacdots_remaining numeric
@attribute nearestpacdot_dist numeric
@attribute currentTickScore numeric
@attribute nextTickScore numeric

@data
1,1,1,1,0.518519,1,1,1,0,0,0.006818,-1
1,1,1,1,0.481481,0.923077,0.965517,0.972222,0,0,0.006494,-2
1,1,1,1,0.481481,0.923077,0.896552,0.916667,0,0,0.006169,-3
1,1,1,1,0.481481,0.884615,0.862069,0.916667,0,0,0.005844,-4
1,1,1,1,0.407407,0.846154,0.827586,0.861111,0,0,0.005519,-5
1,1,1,1,0.333333,0.769231,0.793103,0.861111,0,0,0.005195,-6
1,1,1,1,0.333333,0.730769,0.724138,0.861111,0,0,0.00487,-7
1,1,1,1,0.259259,0.730769,0.724138,0.805556,0,0,0.004545,-8
1,1,1,1,0.259259,0.653846,0.724138,0.805556,0,0,0.004221,-9
1,1,1,1,0.222222,0.576923,0.655172,0.777778,0,0,0.003896,-10
1,1,1,1,0.222222,0.576923,0.62069,0.777778,0,0,0.003571,-11
1,1,1,1,0.296296,0.5,0.586207,0.75,0,0,0.003247,-12
1,1,1,1,0.37037,0.423077,0.586207,0.75,0,0,0.002922,-13
1,1,1,1,0.333333,0.346154,0.586207,0.722222,0,0,0.002597,-14
1,1,1,1,0.296296,0.307692,0.586207,0.722222,0,0,0.002273,-15
1,1,1,1,0.259259,0.307692,0.586207,0.722222,0,0,0.001948,-16
1,1,1,1,0.185185,0.269231,0.551724,0.694444,0,0,0.001623,-17
1,1,1,1,0.185185,0.307692,0.586207,0.75,0,0,0.001299,-18
1,1,1,1,0.111111,0.230769,0.586207,0.694444,0,0,0.000974,-19
1,1,1,1,0.111111,0.269231,0.62069,0.694444,0,0,0.000649,-20
1,1,1,1,0.111111,0.307692,0.689655,0.75,0,0,0.000325,-21
1,1,1,1,0.111111,0.307692,0.758621,0.805556,0,0,0,178
0,1,1,1,0,0.307692,0.689655,0.777778,0,0,0.06461,177
0,1,1,1,0,0.230769,0.689655,0.722222,0,0,0.064286,176
0,1,1,1,0,0.230769,0.689655,0.722222,0,0,0.063961,175
0,1,1,1,0,0.230769,0.655172,0.694444,0,0,0.063636,174
0,1,1,1,0,0.230769,0.586207,0.638889,0,0,0.063312,173
0,1,1,1,0,0.153846,0.517241,0.611111,0,0,0.062987,172
0,1,1,1,0,0.076923,0.448276,0.611111,0,0,0.062662,371
0,0,1,1,0,0,0.37931,0.583333,0,0,0.127273,370
0,0,1,1,0,0,0.310345,0.583333,0,0,0.126948,369
0,0,1,1,0,0,0.241379,0.527778,0,0,0.126623,368
0,0,1,1,0,0,0.310345,0.555556,0,0,0.126299,367
0,0,1,1,0,0,0.37931,0.555556,0,0,0.125974,366
0,0,1,1,0,0,0.413793,0.611111,0,0,0.125649,365
0,0,1,1,0,0,0.482759,0.611111,0,0,0.125325,364
0,0,1,1,0,0,0.517241,0.611111,0,0,0.125,363
0,0,1,1,0,0,0.517241,0.611111,0,0,0.124675,362
0,0,1,1,0,0,0.586207,0.666667,0,0,0.124351,361
0,0,1,1,0,0,0.586207,0.611111,0,0,0.124026,360
0,0,1,1,0,0,0.551724,0.611111,0,0,0.123701,359
0,0,1,1,0,0,0.517241,0.611111,0,0,0.123377,358
0,0,1,1,0,0,0.482759,0.555556,0,0,0.123052,357
0,0,1,1,0,0,0.448276,0.527778,0,0,0.122727,356
0,0,1,1,0,0,0.37931,0.472222,0,0,0.122403,355
0,0,1,1,0,0,0.344828,0.416667,0,0,0.122078,354
0,0,1,1,0,0,0.344828,0.388889,0,0,0.121753,353
0,0,1,1,0,0,0.275862,0.333333,0,0,0.121429,352
0,0,1,1,0,0,0.275862,0.305556,0,0,0.121104,351
0,0,1,1,0,0,0.206897,0.277778,0,0,0.120779,350
0,0,1,1,0,0,0.137931,0.222222,0,0,0.120455,349
0,0,1,1,0,0,0.137931,0.222222,0,0,0.12013,348
0,0,1,1,0,0,0.137931,0.166667,0,0,0.119805,347
0,0,1,1,0,0,0.137931,0.222222,0,0,0.119481,346
0,0,1,1,0,0,0.068966,0.222222,0,0,0.119156,545
0,0,0,1,0,0,0,0.222222,0,0,0.183766,544
0,0,0,1,0,0,0,0.166667,0,0,0.183442,543
0,0,0,1,0,0,0,0.138889,0,0,0.183117,542
0,0,0,1,0,0,0,0.138889,0,0,0.182792,541
0,0,0,1,0,0,0,0.083333,0,0,0.182468,540
0,0,0,1,0,0,0,0.083333,0,0,0.182143,539
0,0,0,1,0,0,0,0.055556,0,0,0.181818,738
1,1,1,1,0.222222,0.230769,0.241379,0.416667,0.296943,0.090909,0.006818,99
1,1,1,1,0.222222,0.269231,0.241379,0.416667,0.292576,0.090909,0.038961,98
1,1,1,1,0.185185,0.269231,0.241379,0.388889,0.292576,0.136364,0.038636,97
1,1,1,1,0.185185,0.230769,0.241379,0.361111,0.292576,0.136364,0.038312,96
1,1,1,1,0.148148,0.153846,0.172414,0.361111,0.292576,0.181818,0.037987,95
1,1,1,1,0.111111,0.115385,0.137931,0.305556,0.292576,0.136364,0.037662,294
0,1,1,1,0,0.115385,0.068966,0.277778,0.292576,0.090909,0.102273,493
0,1,0,1,0,0.115385,0,0.222222,0.292576,0.090909,0.166883,592
0,1,0,1,0,0.115385,0.310345,0.222222,0.28821,0.090909,0.199026,691
0,1,0,1,0.481481,0.115385,0.241379,0.222222,0.283843,0.090909,0.231169,790
0,1,0,1,0.518519,0.076923,0.310345,0.194444,0.279476,0.090909,0.263312,1089
0,0,0,1,0.481481,0,0.275862,0.222222,0.275109,0.090909,0.36039,1088
0,0,0,1,0.481481,0,0,0.222222,0.275109,0.090909,0.360065,1187
0,0,0,1,0.555556,0.5,0,0.166667,0.270742,0.090909,0.392208,1286
0,0,0,1,0.592593,0.5,0.37931,0.166667,0.266376,0.090909,0.424351,1385
0,0,0,1,0.592593,0.538462,0.413793,0.138889,0.262009,0.090909,0.456494,1484
0,0,0,1,0.666667,0.538462,0.413793,0.138889,0.257642,0.090909,0.488636,1583
0,0,0,1,0.592593,0.461538,0.344828,0.083333,0.253275,0.090909,0.520779,1682
0,0,0,1,0.518519,0.384615,0.344828,0.055556,0.248908,0.090909,0.552922,1881
1,1,1,1,0.222222,0.230769,0.241379,0.416667,0.296943,0.090909,0.006818,99
1,1,1,1,0.185185,0.307692,0.241379,0.444444,0.292576,0.090909,0.038961,98
