@relation 'training_tutorial1.arff-weka.filters.unsupervised.attribute.Remove-R1-3,11-12,25-28,33-35,37'

@attribute pacman_pos_x numeric
@attribute pacman_pos_y numeric
@attribute legal_North {False,True}
@attribute legal_South {False,True}
@attribute legal_East {False,True}
@attribute legal_West {False,True}
@attribute legal_Stop {False,True}
@attribute ghost1_alive {False,True}
@attribute ghost2_alive {False,True}
@attribute ghost3_alive {False,True}
@attribute ghost4_alive {False,True}
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute ghost4_x numeric
@attribute ghost4_y numeric
@attribute ghost1_dist numeric
@attribute ghost2_dist numeric
@attribute ghost3_dist numeric
@attribute ghost4_dist numeric
@attribute pacman_action {East,North,South,Stop,West,None}

@data
1,18,False,True,True,False,True,True,True,True,True,5,9,11,3,17,6,25,7,13,25,28,35,South
1,17,True,True,False,False,True,True,True,True,True,5,9,11,4,17,6,25,7,12,23,27,34,South
1,16,True,True,True,False,True,True,True,True,True,5,8,11,3,16,6,25,7,12,23,25,32,South
1,15,True,True,True,False,True,True,True,True,True,6,8,11,3,16,6,24,7,12,22,24,32,South
1,14,True,True,True,False,True,True,True,True,True,6,9,11,3,16,6,25,7,10,21,23,30,South
1,13,True,True,False,False,True,True,True,True,True,6,10,11,4,16,6,24,7,8,19,22,30,South
1,12,True,True,True,False,True,True,True,True,True,6,9,11,4,15,6,24,6,8,18,20,30,South
1,11,True,True,False,False,True,True,True,True,True,5,9,11,3,16,6,24,5,6,18,20,28,South
1,10,True,True,False,False,True,True,True,True,True,6,9,10,3,17,6,23,5,6,16,20,28,South
1,9,True,True,False,False,True,True,True,True,True,6,9,9,3,16,6,23,4,5,14,18,27,South
1,8,True,True,False,False,True,True,True,True,True,5,9,10,3,16,6,23,4,5,14,17,27,South
1,7,True,True,False,False,True,True,True,True,True,5,10,10,4,16,6,24,4,7,12,16,26,South
1,6,True,True,True,False,True,True,True,True,True,6,10,9,4,17,6,24,4,9,10,16,26,East
2,6,False,True,True,True,True,True,True,True,True,6,10,9,5,18,6,25,4,8,8,16,25,East
3,6,True,True,True,True,True,True,True,True,True,6,10,9,5,19,6,25,4,7,7,16,25,East
4,6,True,True,True,True,True,True,True,True,True,6,10,9,4,19,5,26,4,6,7,16,25,East
5,6,True,True,True,True,True,True,True,True,True,5,10,9,4,19,5,26,3,4,6,15,24,North
5,7,True,True,True,True,True,True,True,True,True,6,10,9,4,19,5,26,3,4,7,16,26,East
6,7,True,True,False,True,True,True,True,True,True,6,9,8,4,20,5,27,3,2,5,16,24,North
6,8,True,True,False,True,True,True,True,True,True,6,10,8,4,20,5,27,4,2,6,17,24,North
6,9,True,True,False,True,True,True,True,True,True,5,10,8,4,20,4,27,5,2,7,19,26,West
5,9,True,True,True,True,True,True,True,True,True,6,10,8,5,20,3,28,5,2,7,21,28,East
6,9,True,True,False,True,True,False,True,True,True,1,1,9,5,20,4,28,4,-1,7,19,27,South
6,8,True,True,False,True,True,False,True,True,True,1,1,8,5,20,3,28,4,-1,5,19,25,South
6,7,True,True,False,True,True,False,True,True,True,1,1,8,4,21,3,27,4,-1,5,19,25,South
6,6,True,False,True,True,True,False,True,True,True,1,1,9,4,21,3,28,4,-1,5,18,24,East
7,6,False,False,True,True,True,False,True,True,True,1,1,9,3,21,4,28,4,-1,5,16,22,East
8,6,True,True,True,True,True,False,True,True,True,1,1,9,4,20,4,28,5,-1,3,14,21,East
9,6,True,True,True,True,True,False,True,True,True,1,1,9,5,20,5,28,5,-1,1,12,21,South
9,5,True,True,True,True,True,False,False,True,True,1,1,3,1,19,5,28,4,-1,-1,10,20,East
10,5,True,True,True,True,True,False,False,True,True,1,1,3,1,18,5,28,4,-1,-1,8,20,East
11,5,True,True,False,True,True,False,False,True,True,1,1,3,1,17,5,28,3,-1,-1,6,18,North
11,6,True,True,False,True,True,False,False,True,True,1,1,3,1,18,5,27,3,-1,-1,8,19,North
11,7,True,True,False,True,True,False,False,True,True,1,1,3,1,19,5,27,3,-1,-1,10,19,North
11,8,True,True,False,True,True,False,False,True,True,1,1,3,1,19,5,27,4,-1,-1,11,21,North
11,9,True,True,False,True,True,False,False,True,True,1,1,3,1,20,5,28,4,-1,-1,13,21,North
11,10,True,True,False,True,True,False,False,True,True,1,1,3,1,20,5,28,5,-1,-1,14,21,North
11,11,True,True,False,True,True,False,False,True,True,1,1,3,1,19,5,28,6,-1,-1,14,21,North
11,12,False,True,True,True,True,False,False,True,True,1,1,3,1,20,5,28,7,-1,-1,16,23,East
12,12,False,False,True,True,True,False,False,True,True,1,1,3,1,20,4,28,6,-1,-1,16,21,East
13,12,False,True,True,True,True,False,False,True,True,1,1,3,1,20,4,28,7,-1,-1,15,21,East
14,12,True,True,True,True,True,False,False,True,True,1,1,3,1,20,4,28,6,-1,-1,14,21,South
14,11,True,True,True,True,True,False,False,True,True,1,1,3,1,20,4,28,5,-1,-1,13,19,South
14,10,True,True,True,True,True,False,False,True,True,1,1,3,1,20,4,27,5,-1,-1,12,18,South
14,9,True,True,False,True,True,False,False,True,True,1,1,3,1,19,4,27,5,-1,-1,10,16,South
14,8,True,True,True,True,True,False,False,True,True,1,1,3,1,19,4,27,6,-1,-1,9,14,South
14,7,True,True,False,True,True,False,False,True,True,1,1,3,1,20,4,26,6,-1,-1,9,13,South
14,6,True,True,True,True,True,False,False,True,True,1,1,3,1,19,4,26,6,-1,-1,7,11,East
15,6,False,False,True,True,True,False,False,True,True,1,1,3,1,20,4,25,6,-1,-1,7,10,East
16,6,False,False,True,True,True,False,False,True,True,1,1,3,1,19,4,25,6,-1,-1,5,9,East
17,6,False,True,True,True,True,False,False,True,True,1,1,3,1,18,4,25,6,-1,-1,3,7,East
18,6,False,True,True,True,True,False,False,True,True,1,1,3,1,19,4,24,6,-1,-1,3,7,East
19,6,False,True,True,True,True,False,False,True,True,1,1,3,1,18,4,24,5,-1,-1,3,5,West
18,6,False,True,True,True,True,False,False,True,True,1,1,3,1,17,4,24,6,-1,-1,3,7,West
17,6,False,True,True,True,True,False,False,True,True,1,1,3,1,17,5,25,6,-1,-1,1,7,South
17,5,True,True,True,False,True,False,False,False,True,1,1,3,1,5,1,24,6,-1,-1,-1,7,East
18,5,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,24,5,-1,-1,-1,5,East
19,5,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,23,5,-1,-1,-1,4,East
20,5,True,True,False,True,True,False,False,False,True,1,1,3,1,5,1,23,5,-1,-1,-1,4,South
20,4,True,True,True,True,True,False,False,False,True,1,1,3,1,5,1,23,4,-1,-1,-1,2,East
21,4,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,22,4,-1,-1,-1,2,East
22,4,False,True,True,True,True,False,False,False,True,1,1,3,1,5,1,22,3,-1,-1,-1,1,South
9,1,False,False,True,True,True,True,True,True,True,8,5,10,5,11,5,17,7,5,5,6,14,West
8,1,True,False,True,True,True,True,True,True,True,9,5,10,5,10,5,17,7,5,6,6,14,North
8,2,True,True,False,False,True,True,True,True,True,9,5,10,6,10,6,16,7,4,6,6,13,North
8,3,False,True,True,False,True,True,True,True,True,9,6,10,6,10,7,16,7,4,5,6,12,East
9,3,True,False,True,True,True,True,True,True,True,9,6,9,6,10,6,16,7,3,3,4,12,North
9,4,True,True,False,False,True,True,True,True,True,9,6,9,6,10,6,17,7,2,2,3,10,North
9,5,True,True,True,True,True,False,True,True,True,1,1,9,7,10,5,16,7,-1,2,1,9,East
10,5,True,False,True,True,True,False,True,False,True,1,1,10,7,6,1,16,7,-1,2,-1,7,North
10,6,True,True,False,True,True,False,True,False,True,1,1,9,7,6,2,15,7,-1,2,8,7,West
9,6,True,True,True,False,True,False,True,False,True,1,2,8,7,6,3,16,7,12,2,6,7,North
9,7,False,True,True,True,True,False,True,False,True,1,2,8,7,6,2,15,7,13,1,8,6,West
8,7,False,False,True,True,True,False,False,False,True,1,2,3,1,6,2,15,7,12,-1,7,7,East
9,7,False,True,True,True,True,False,False,False,True,1,3,3,1,6,1,15,7,12,-1,-1,7,East
10,7,False,True,True,True,True,False,False,False,True,1,2,3,2,6,1,15,6,14,12,-1,5,East
11,7,False,False,True,True,True,False,False,False,True,1,2,3,3,6,2,15,7,15,12,10,5,East
12,7,False,False,True,True,True,False,False,False,True,1,3,3,3,6,2,15,6,15,13,11,4,East
13,7,False,True,False,True,True,False,False,False,True,1,2,3,4,6,3,15,6,17,13,11,4,South
13,6,True,True,False,False,True,False,False,False,True,1,3,3,5,6,4,15,5,15,11,9,2,South
13,5,True,True,True,False,True,False,False,False,True,1,4,4,5,6,3,14,5,13,9,9,1,East
9,1,False,False,True,True,True,True,True,True,True,8,5,10,5,11,5,17,7,5,5,6,14,West
8,1,True,False,True,True,True,True,True,True,True,8,5,11,5,10,5,17,7,4,7,6,15,North
8,2,True,True,False,False,True,True,True,True,True,9,5,10,5,11,5,17,7,4,5,6,15,North
8,3,False,True,True,False,True,True,True,True,True,8,5,11,5,10,5,18,7,2,5,4,13,East
